Protocol,Carrier (Hz),Pulse1 (µs),Pause1 (µs),Pulse0 (µs),Pause0 (µs),Header Pulse (µs),Header Pause (µs),Address Bits,Command Bits,Stop Bit,LSB First,Special Flags
SIRCS,40000,1200,600,600,600,2400,600,12,12,No,No,
NEC,38000,560,1690,560,560,9000,4500,16,16,Yes,Yes,
SAMSUNG,38000,550,1650,550,550,4500,4500,16,16,Yes,Yes,
MATSUSHITA,36000,400,1200,400,400,3500,3500,12,12,Yes,No,
KASEIKYO,37000,500,1500,500,500,3400,1700,16,16,Yes,No,
RECS80,38000,158,7432,158,4902,0,0,4,6,No,No,
RC5,36000,889,889,889,889,889,889,5,6,No,No,RC5
DENON,38000,275,1900,275,775,0,0,5,10,No,No,
RC6,36000,444,444,444,444,2666,889,8,8,Yes,Yes,RC6
SAMSUNG32,38000,500,1500,500,500,4500,4500,16,16,Yes,Yes,
APPLE,38000,560,1690,560,560,9000,4500,8,16,Yes,No,
RECS80EXT,38000,158,7432,158,4902,0,0,4,6,No,No,
NUBERT,38000,340,1700,340,680,0,0,0,10,No,No,
BANG_OLUFSEN,38000,200,3125,200,9375,0,0,16,8,No,No,
GRUNDIG,38000,528,528,528,1056,6336,3168,0,8,Yes,No,
NOKIA,38000,500,1500,500,500,8000,2500,8,8,Yes,Yes,
SIEMENS,36000,275,854,275,1708,275,854,0,10,No,No,
JVC,38000,525,1725,525,525,9000,4500,16,16,Yes,No,
THOMSON,36000,500,1500,500,500,8000,2500,8,8,Yes,Yes,
NIKON,38000,500,1500,500,3500,2000,6500,0,2,No,No,
NETBOX,38000,560,1690,560,560,9000,4500,16,16,Yes,Yes,
ORTEK,38000,560,1690,560,560,9000,4500,16,16,Yes,Yes,
TELEFUNKEN,38000,750,1150,750,400,750,1150,0,15,No,No,
FDC,38000,550,1600,550,550,5000,5000,16,16,Yes,No,
RCCAR,36000,400,400,400,800,400,400,0,16,Yes,Yes,
RC6A,36000,444,444,444,444,2666,889,8,16,Yes,Yes,RC6A
KATHREIN,38000,568,1675,568,568,9000,4500,4,12,Yes,Yes,
LEGO,38000,158,7432,158,4902,0,0,4,6,No,No,
IRMP16,38000,500,1500,500,500,9000,4500,0,16,Yes,Yes,
BOSE,38000,500,1500,500,500,1000,1500,8,8,No,Yes,
A1TVBOX,38000,560,1690,560,560,9000,4500,16,16,Yes,Yes,
ROOMBA,38000,500,1500,500,500,3000,1000,8,8,No,No,
RCMM32,36000,166,166,166,166,166,166,12,12,No,No,RCMM32
RCMM24,36000,166,166,166,166,166,166,8,12,No,No,RCMM24
RCMM12,36000,166,166,166,166,166,166,0,12,No,No,RCMM12
SPEAKER,38000,550,1650,550,550,4500,4500,4,12,No,Yes,
LGAIR,38000,550,1500,550,550,8000,4000,8,16,No,Yes,
SAMSUNG48,38000,550,1500,550,550,4500,4500,16,32,Yes,Yes,
MERLIN,38000,550,1500,550,550,5000,5000,9,16,Yes,Yes,
PENTAX,38000,500,1500,500,3500,2000,6500,0,6,No,No,
FAN,38000,500,1500,500,3500,3000,3000,8,8,No,No,
S100,40000,550,550,550,1650,4400,4400,6,6,No,No,
ACP24,38000,560,1690,560,560,9000,4500,16,8,Yes,Yes,
TECHNICS,37000,500,1500,500,500,3500,1750,16,8,Yes,No,
PANASONIC,38000,500,1500,500,500,3500,1750,16,32,Yes,No,
MITSU_HEAVY,38000,400,1200,400,400,3200,1600,16,16,Yes,No,
VINCENT,38000,550,1550,550,550,5000,5000,16,16,Yes,No,
SAMSUNGAH,38000,500,1500,500,500,5000,5000,16,16,Yes,Yes,
GREE,38000,550,1650,550,550,9000,4500,16,8,Yes,Yes,
RCII,38000,400,1200,400,400,3500,1750,12,12,Yes,No,
METZ,38000,528,528,528,1056,6336,3168,0,12,Yes,No,
NEC16,38000,560,1690,560,560,9000,4500,8,8,Yes,Yes,
NEC42,38000,560,1690,560,560,9000,4500,8,34,Yes,Yes,
LOEWE,38000,600,1600,600,600,5000,5000,0,16,Yes,No,
MELINERA,38000,550,1550,550,550,5000,5000,16,16,Yes,No,
RC6A20,36000,444,444,444,444,2666,889,8,20,Yes,Yes,RC6A20
IHELICOPTER,38000,600,600,600,1200,5000,5000,0,14,No,No,
HAMA,38000,550,1550,550,550,5000,5000,0,16,Yes,No,
IRMP,38000,550,1550,550,550,5000,5000,0,16,Yes,No,
VITEC,38000,400,1250,400,400,5000,5000,0,12,Yes,No,
SAMSUNG_TC,38000,550,1450,550,550,5000,5000,24,16,Yes,Yes,
RUWIDO,36000,396,396,396,1188,396,396,8,8,No,No,
HUMAX,38000,550,1550,550,550,5000,5000,16,16,Yes,Yes,
