Time [s],Channel 2
-27.665647000,1
0.000000000,0
0.000237000,1
0.001981000,0
0.002227000,1
0.002992000,0
0.003236000,1
0.004017000,0
0.004237000,1
0.005047000,0
0.005266000,1
0.006072000,0
0.006291000,1
0.007082000,0
0.007303000,1
0.009085000,0
0.009304000,1
0.011105000,0
0.011351000,1
0.012133000,0
0.012354000,1
0.014152000,0
0.014373000,1
0.015182000,0
0.015403000,1
0.016193000,0
0.016413000,1
0.017219000,0
0.017439000,1
0.019236000,0
0.019458000,1
0.020267000,0
0.020486000,1
0.063622000,0
0.063861000,1
0.065601000,0
0.065845000,1
0.066613000,0
0.066858000,1
0.067639000,0
0.067858000,1
0.068666000,0
0.068885000,1
0.069693000,0
0.069909000,1
0.071694000,0
0.071914000,1
0.072722000,0
0.072943000,1
0.073748000,0
0.073969000,1
0.075766000,0
0.075987000,1
0.076796000,0
0.077017000,1
0.078815000,0
0.079061000,1
0.080838000,0
0.081083000,1
0.082857000,0
0.083103000,1
0.083869000,0
0.084090000,1
0.085870000,0
0.086091000,1
0.133295000,0
0.133546000,1
0.135315000,0
0.135562000,1
0.136341000,0
0.136585000,1
0.137370000,0
0.137591000,1
0.138380000,0
0.138600000,1
0.139404000,0
0.139624000,1
0.140431000,0
0.140650000,1
0.142449000,0
0.142666000,1
0.144472000,0
0.144719000,1
0.145484000,0
0.145705000,1
0.147486000,0
0.147703000,1
0.148497000,0
0.148719000,1
0.149524000,0
0.149745000,1
0.150552000,0
0.150770000,1
0.152571000,0
0.152789000,1
0.153582000,0
0.153803000,1
0.196942000,0
0.197194000,1
0.198950000,0
0.199196000,1
0.199978000,0
0.200221000,1
0.201003000,0
0.201223000,1
0.202030000,0
0.202252000,1
0.203058000,0
0.203278000,1
0.205060000,0
0.205280000,1
0.206087000,0
0.206308000,1
0.207114000,0
0.207330000,1
0.209134000,0
0.209355000,1
0.210147000,0
0.210369000,1
0.212150000,0
0.212370000,1
0.214155000,0
0.214399000,1
0.216175000,0
0.216421000,1
0.217184000,0
0.217406000,1
0.219190000,0
0.219411000,1
0.266617000,0
0.266869000,1
0.268635000,0
0.268904000,1
0.269663000,0
0.269934000,1
0.270674000,0
0.270892000,1
0.271685000,0
0.271906000,1
0.272710000,0
0.272931000,1
0.273738000,0
0.273954000,1
0.275757000,0
0.275972000,1
0.277778000,0
0.277999000,1
0.278790000,0
0.279011000,1
0.280792000,0
0.281062000,1
0.281819000,0
0.282040000,1
0.282845000,0
0.283063000,1
0.283873000,0
0.284092000,1
0.285877000,0
0.286147000,1
0.286888000,0
0.287107000,1
0.330224000,0
0.330493000,1
0.332225000,0
0.332494000,1
0.333252000,0
0.333472000,1
0.334279000,0
0.334498000,1
0.335289000,0
0.335509000,1
0.336315000,0
0.336532000,1
0.338335000,0
0.338555000,1
0.339361000,0
0.339579000,1
0.340390000,0
0.340610000,1
0.342409000,0
0.342677000,1
0.343420000,0
0.343639000,1
0.345424000,0
0.345645000,1
0.347428000,0
0.347650000,1
0.349448000,0
0.349717000,1
0.350476000,0
0.350744000,1
0.352496000,0
0.352718000,1
0.514833000,1
